id,pull_item,rawtick,dim,raw_weight,corrected_weight,judgement,magchg,dimchg,trivial,nopub,snap_rule
3234,cabbage,grams (g),g,425,425,0,0,0,1,0,log10 median
3235,cabbage,grams (g),g,595,595,0,0,0,1,0,log10 median
3236,cabbage,grams (g),g,990,990,0,0,0,1,0,log10 median
3237,cabbage,grams (g),g,465,465,0,0,0,1,0,log10 median
3238,cabbage,grams (g),g,535,535,0,0,0,1,0,log10 median
3239,cabbage,grams (g),g,540,540,0,0,0,1,0,log10 median
3240,cabbage,grams (g),g,610,610,0,0,0,1,0,log10 median
3241,cabbage,grams (g),g,675,675,0,0,0,1,0,log10 median
3242,cabbage,grams (g),g,685,685,0,0,0,1,0,log10 median
3243,cabbage,grams (g),g,780,780,0,0,0,1,0,log10 median
3244,cabbage,grams (g),g,830,830,0,0,0,1,0,log10 median
3245,cabbage,grams (g),g,325,325,0,0,0,1,0,log10 median
3246,cabbage,grams (g),g,540,540,0,0,0,1,0,log10 median
3247,cabbage,grams (g),g,580,580,0,0,0,1,0,log10 median
3248,camote tops,grams (g),g,140,140,0,0,0,1,0,log10 median
3249,camote tops,grams (g),g,215,215,0,0,0,1,0,log10 median
3250,camote tops,grams (g),g,175,175,0,0,0,1,0,log10 median
3251,camote tops,grams (g),g,250,250,0,0,0,1,0,log10 median
3252,camote tops,grams (g),g,190,190,0,0,0,1,0,log10 median
3253,camote tops,grams (g),g,645,645,0,0,0,1,0,log10 median
3254,camote tops,grams (g),g,610,610,0,0,0,1,0,log10 median
3255,camote tops,grams (g),g,780,780,0,0,0,1,0,log10 median
3256,camote,grams (g),g,80,80,0,0,0,1,0,log10 median
3257,camote,grams (g),g,150,150,0,0,0,1,0,log10 median
3258,camote,grams (g),g,160,160,0,0,0,1,0,log10 median
3259,camote,grams (g),g,45,45,0,0,0,1,0,log10 median
3260,camote,grams (g),g,85,85,0,0,0,1,0,log10 median
3261,camote,grams (g),g,135,135,0,0,0,1,0,log10 median
3262,camote,grams (g),g,70,70,0,0,0,1,0,log10 median
3263,camote,grams (g),g,50,50,0,0,0,1,0,log10 median
3264,camote,grams (g),g,65,65,0,0,0,1,0,log10 median
3265,camote,grams (g),g,90,90,0,0,0,1,0,log10 median
3266,camote,grams (g),g,70,70,0,0,0,1,0,log10 median
3267,camote,grams (g),g,115,115,0,0,0,1,0,log10 median
3268,camote,grams (g),g,230,230,0,0,0,1,0,log10 median
3269,carrot,grams (g),g,75,75,0,0,0,1,0,log10 median
3270,carrot,grams (g),g,120,120,0,0,0,1,0,log10 median
3271,carrot,grams (g),g,130,130,0,0,0,1,0,log10 median
3272,carrot,grams (g),g,85,85,0,0,0,1,0,log10 median
3273,carrot,grams (g),g,110,110,0,0,0,1,0,log10 median
3274,carrot,grams (g),g,160,160,0,0,0,1,0,log10 median
3275,carrot,grams (g),g,70,70,0,0,0,1,0,log10 median
3276,carrot,grams (g),g,160,160,0,0,0,1,0,log10 median
3277,carrot,grams (g),g,180,180,0,0,0,1,0,log10 median
3278,carrot,grams (g),g,70,70,0,0,0,1,0,log10 median
3279,carrot,grams (g),g,75,75,0,0,0,1,0,log10 median
3280,carrot,grams (g),g,80,80,0,0,0,1,0,log10 median
3281,carrot,grams (g),g,115,115,0,0,0,1,0,log10 median
3282,carrot,grams (g),g,140,140,0,0,0,1,0,log10 median
3283,carrot,grams (g),g,185,185,0,0,0,1,0,log10 median
3284,chicken,grams (g),g,150,150,0,0,0,1,0,log10 median
3285,chicken,grams (g),g,220,220,0,0,0,1,0,log10 median
3286,chicken,grams (g),g,1000,1000,0,0,0,1,0,log10 median
3287,chicken,grams (g),g,655,655,0,0,0,1,0,log10 median
3288,chicken,grams (g),g,785,785,0,0,0,1,0,log10 median
3289,chicken,grams (g),g,1195,1195,0,0,0,1,0,log10 median
3290,chicken,grams (g),g,890,890,0,0,0,1,0,log10 median
3291,chicken,grams (g),g,1310,1310,0,0,0,1,0,log10 median
3292,chicken,grams (g),g,1645,1645,0,0,0,1,0,log10 median
3293,chicken,grams (g),g,715,715,0,0,0,1,0,log10 median
3294,chicken,grams (g),g,1055,1055,0,0,0,1,0,log10 median
3295,chicken,grams (g),g,1300,1300,0,0,0,1,0,log10 median
3296,"crackers, cookies, buiscuits, chips/curls",grams (g),g,516,516,0,0,0,1,0,log10 median
3297,"crackers, cookies, buiscuits, chips/curls",grams (g),g,516,516,0,0,0,1,0,log10 median
3298,"crackers, cookies, buiscuits, chips/curls",grams (g),g,400,400,0,0,0,1,0,log10 median
3299,"crackers, cookies, buiscuits, chips/curls",grams (g),g,210,210,0,0,0,1,0,log10 median
3300,"crackers, cookies, buiscuits, chips/curls",grams (g),g,330,330,0,0,0,1,0,log10 median
3301,"crackers, cookies, buiscuits, chips/curls",grams (g),g,300,300,0,0,0,1,0,log10 median
3302,"crackers, cookies, buiscuits, chips/curls",grams (g),g,250,250,0,0,0,1,0,log10 median
3303,"crackers, cookies, buiscuits, chips/curls",grams (g),g,600,600,0,0,0,1,0,log10 median
3304,"drinks at restaurant, hotel, cafe, or kiosk",Litres (L),mL,.5,500,0,0,0,1,0,log10 median
3305,"drinks at restaurant, hotel, cafe, or kiosk",Litres (L),mL,.28999999,290,0,0,0,1,0,log10 median
3306,"drinks at restaurant, hotel, cafe, or kiosk",Litres (L),mL,.34999999,350,0,0,0,1,0,log10 median
3307,"drinks at restaurant, hotel, cafe, or kiosk",Litres (L),mL,.5,500,0,0,0,1,0,log10 median
3308,"drinks at restaurant, hotel, cafe, or kiosk",Litres (L),mL,1,1000,0,0,0,1,0,log10 median
3309,"drinks at restaurant, hotel, cafe, or kiosk",Litres (L),mL,.35499999,355,0,0,0,1,0,log10 median
3310,"drinks at restaurant, hotel, cafe, or kiosk",Litres (L),mL,.19,190,0,0,0,1,0,log10 median
3311,"drinks at restaurant, hotel, cafe, or kiosk",Litres (L),mL,.23999999,240,0,0,0,1,0,log10 median
3312,"drinks at restaurant, hotel, cafe, or kiosk",Litres (L),mL,1,1000,0,0,0,1,0,log10 median
3313,"drinks at restaurant, hotel, cafe, or kiosk",Litres (L),mL,.34999999,350,0,0,0,1,0,log10 median
3314,"drinks at restaurant, hotel, cafe, or kiosk",Litres (L),mL,.18000001,180,0,0,0,1,0,log10 median
3315,"drinks at restaurant, hotel, cafe, or kiosk",Litres (L),mL,.5,500,0,0,0,1,0,log10 median
3316,fresh fish,grams (g),g,340,340,0,0,0,1,0,log10 median
3317,fresh fish,grams (g),g,740,740,0,0,0,1,0,log10 median
3318,fresh fish,grams (g),g,1805,1805,0,0,0,1,0,log10 median
3319,fresh fish,grams (g),g,1585,1585,0,0,0,1,0,log10 median
3320,fresh fish,grams (g),g,1450,1450,0,0,0,1,0,log10 median
3321,fresh fish,grams (g),g,125,125,0,0,0,1,0,log10 median
3322,fresh fish,grams (g),g,3920,3920,0,0,0,1,0,block governs
3323,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",Litres (L),mL,.5,500,0,0,0,1,0,block governs
3324,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",Litres (L),mL,.5,500,0,0,0,1,0,block governs
3325,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",Litres (L),mL,.64999998,650,0,0,0,1,0,block governs
3326,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",Litres (L),mL,.44999999,450,0,0,0,1,0,block governs
3327,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",Litres (L),mL,.60000002,600,0,0,0,1,0,block governs
3328,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",Litres (L),mL,.1,100,0,0,0,1,0,log10 median
3329,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",Litres (L),mL,.1,100,0,0,0,1,0,log10 median
3330,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",Litres (L),mL,.12,120,0,0,0,1,0,log10 median
3331,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",Litres (L),mL,.1,100,0,0,0,1,0,log10 median
3332,"liquor (e.g, whisky, coconut wine)",Litres (L),mL,.375,375,0,0,0,1,0,log10 median
3333,"liquor (e.g, whisky, coconut wine)",Litres (L),mL,.375,375,0,0,0,1,0,log10 median
3334,"liquor (e.g, whisky, coconut wine)",Litres (L),mL,.375,375,0,0,0,1,0,log10 median
3335,"liquor (e.g, whisky, coconut wine)",Litres (L),mL,.375,375,0,0,0,1,0,log10 median
3336,"liquor (e.g, whisky, coconut wine)",Litres (L),mL,.375,375,0,0,0,1,0,log10 median
3337,"liquor (e.g, whisky, coconut wine)",Litres (L),mL,.375,375,0,0,0,1,0,log10 median
3338,"liquor (e.g, whisky, coconut wine)",Litres (L),mL,.375,375,0,0,0,1,0,log10 median
3339,"liquor (e.g, whisky, coconut wine)",Litres (L),mL,.375,375,0,0,0,1,0,log10 median
3340,"liquor (e.g, whisky, coconut wine)",Litres (L),mL,.75,750,0,0,0,1,0,log10 median
3341,"liquor (e.g, whisky, coconut wine)",Kilograms (Kgs),mL,1,1000,1,0,1,0,0,log10 median
3342,"liquor (e.g, whisky, coconut wine)",Litres (L),mL,.75,750,0,0,0,1,0,log10 median
3343,"liquor (e.g, whisky, coconut wine)",Litres (L),mL,.75,750,0,0,0,1,0,log10 median
3344,"liquor (e.g, whisky, coconut wine)",Litres (L),mL,.75,750,0,0,0,1,0,log10 median
3345,"liquor (e.g, whisky, coconut wine)",Litres (L),mL,1,1000,0,0,0,1,0,log10 median
3346,"liquor (e.g, whisky, coconut wine)",Litres (L),mL,.75,750,0,0,0,1,0,log10 median
3347,"liquor (e.g, whisky, coconut wine)",Litres (L),mL,.75,750,0,0,0,1,0,log10 median
3348,"liquor (e.g, whisky, coconut wine)",Litres (L),mL,.75,750,0,0,0,1,0,log10 median
3349,"liquor (e.g, whisky, coconut wine)",Litres (L),mL,.75,750,0,0,0,1,0,log10 median
3351,loaf bread,grams (g),g,360,360,0,0,0,1,0,log10 median
3352,loaf bread,grams (g),g,640,640,0,0,0,1,0,log10 median
3353,loaf bread,grams (g),g,640,640,0,0,0,1,0,log10 median
3354,loaf bread,grams (g),g,700,700,0,0,0,1,0,log10 median
3355,loaf bread,grams (g),g,450,450,0,0,0,1,0,log10 median
3356,loaf bread,grams (g),g,450,450,0,0,0,1,0,log10 median
3357,loaf bread,grams (g),g,450,450,0,0,0,1,0,log10 median
3358,loaf bread,grams (g),g,410,410,0,0,0,1,0,log10 median
3359,mango,grams (g),g,175,175,0,0,0,1,0,log10 median
3360,mango,grams (g),g,205,205,0,0,0,1,0,log10 median
3361,mango,grams (g),g,235,235,0,0,0,1,0,log10 median
3362,mango,grams (g),g,200,200,0,0,0,1,0,log10 median
3363,mango,grams (g),g,205,205,0,0,0,1,0,log10 median
3364,mango,grams (g),g,230,230,0,0,0,1,0,log10 median
3365,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),g,155,155,0,0,0,1,0,log10 median
3366,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),g,425,425,0,0,0,1,0,log10 median
3367,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),g,155,155,0,0,0,1,0,log10 median
3368,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),g,155,155,0,0,0,1,0,log10 median
3369,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),g,250,250,0,0,0,1,0,log10 median
3370,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),g,150,150,0,0,0,1,0,log10 median
3371,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),g,250,250,0,0,0,1,0,log10 median
3372,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),g,150,150,0,0,0,1,0,log10 median
3373,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),g,150,150,0,0,0,1,0,log10 median
3374,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),g,155,155,0,0,0,1,0,log10 median
3375,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),g,150,150,0,0,0,1,0,log10 median
3376,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),g,70,70,0,0,0,1,0,log10 median
3377,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),g,135,135,0,0,0,1,0,log10 median
3378,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),g,250,250,0,0,0,1,0,log10 median
3379,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),g,260,260,0,0,0,1,0,log10 median
3381,"preserved or processed meat (tocino, tapa, longaniza, etc)",Kilograms (Kgs),g,1,1000,0,0,0,1,0,block governs
3382,"preserved or processed meat (tocino, tapa, longaniza, etc)",Kilograms (Kgs),g,1,1000,0,0,0,1,0,block governs
3383,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),g,250,250,0,0,0,1,0,log10 median
3384,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),g,260,260,0,0,0,1,0,log10 median
3385,rice,grams (g),g,2230,2230,0,0,0,1,0,log10 median
3386,rice,grams (g),g,2255,2255,0,0,0,1,0,log10 median
3387,rice,grams (g),g,2260,2260,0,0,0,1,0,log10 median
3388,cabbage,grams (g),g,355,355,0,0,0,1,0,log10 median
3389,cabbage,grams (g),g,535,535,0,0,0,1,0,log10 median
3390,cabbage,grams (g),g,585,585,0,0,0,1,0,log10 median
3391,cabbage,grams (g),g,875,875,0,0,0,1,0,log10 median
3392,cabbage,grams (g),g,1000,1000,0,0,0,1,0,log10 median
3393,cabbage,grams (g),g,1415,1415,0,0,0,1,0,log10 median
3394,cabbage,grams (g),g,405,405,0,0,0,1,0,log10 median
3395,cabbage,grams (g),g,595,595,0,0,0,1,0,log10 median
3396,cabbage,grams (g),g,875,875,0,0,0,1,0,log10 median
3397,cabbage,grams (g),g,240,240,0,0,0,1,0,log10 median
3398,cabbage,grams (g),g,660,660,0,0,0,1,0,log10 median
3399,cabbage,grams (g),g,980,980,0,0,0,1,0,log10 median
3400,cabbage,grams (g),g,410,410,0,0,0,1,0,log10 median
3401,cabbage,grams (g),g,665,665,0,0,0,1,0,log10 median
3402,cabbage,grams (g),g,970,970,0,0,0,1,0,log10 median
3403,cabbage,grams (g),g,310,310,0,0,0,1,0,log10 median
3404,cabbage,grams (g),g,520,520,0,0,0,1,0,log10 median
3405,cabbage,grams (g),g,795,795,0,0,0,1,0,log10 median
3406,cabbage,grams (g),g,450,450,0,0,0,1,0,log10 median
3407,cabbage,grams (g),g,580,580,0,0,0,1,0,log10 median
3408,cabbage,grams (g),g,600,600,0,0,0,1,0,log10 median
3409,camote tops,grams (g),g,275,275,0,0,0,1,0,log10 median
3410,camote tops,grams (g),g,210,210,0,0,0,1,0,log10 median
3411,camote tops,grams (g),g,170,170,0,0,0,1,0,log10 median
3412,camote tops,grams (g),g,1110,1110,0,0,0,1,0,log10 median
3413,carrot,grams (g),g,70,70,0,0,0,1,0,log10 median
3414,carrot,grams (g),g,190,190,0,0,0,1,0,log10 median
3415,carrot,grams (g),g,310,310,0,0,0,1,0,log10 median
3416,carrot,grams (g),g,85,85,0,0,0,1,0,log10 median
3417,carrot,grams (g),g,100,100,0,0,0,1,0,log10 median
3418,carrot,grams (g),g,170,170,0,0,0,1,0,log10 median
3419,carrot,grams (g),g,95,95,0,0,0,1,0,log10 median
3420,carrot,grams (g),g,110,110,0,0,0,1,0,log10 median
3421,carrot,grams (g),g,110,110,0,0,0,1,0,log10 median
3422,carrot,grams (g),g,185,185,0,0,0,1,0,log10 median
3423,carrot,grams (g),g,265,265,0,0,0,1,0,log10 median
3424,chicken,grams (g),g,195,195,0,0,0,1,0,log10 median
3425,chicken,grams (g),g,260,260,0,0,0,1,0,log10 median
3426,chicken,grams (g),g,395,395,0,0,0,1,0,log10 median
3427,chicken,grams (g),g,205,205,0,0,0,1,0,log10 median
3428,chicken,grams (g),g,1110,1110,0,0,0,1,0,log10 median
3429,chicken,grams (g),g,900,900,0,0,0,1,0,log10 median
3430,chicken,grams (g),g,1040,1040,0,0,0,1,0,log10 median
3431,chicken,grams (g),g,1705,1705,0,0,0,1,0,log10 median
3432,chicken,grams (g),g,1185,1185,0,0,0,1,0,log10 median
3433,chicken,grams (g),g,1690,1690,0,0,0,1,0,log10 median
3434,"crackers, cookies, buiscuits, chips/curls",grams (g),g,32,32,0,0,0,1,0,log10 median
3435,"crackers, cookies, buiscuits, chips/curls",grams (g),g,50,50,0,0,0,1,0,log10 median
3436,"crackers, cookies, buiscuits, chips/curls",grams (g),g,65,65,0,0,0,1,0,log10 median
3437,"crackers, cookies, buiscuits, chips/curls",grams (g),g,100,100,0,0,0,1,0,log10 median
3438,"crackers, cookies, buiscuits, chips/curls",grams (g),g,28,28,0,0,0,1,0,log10 median
3439,"crackers, cookies, buiscuits, chips/curls",grams (g),g,35,35,0,0,0,1,0,log10 median
3440,"crackers, cookies, buiscuits, chips/curls",grams (g),g,24,24,0,0,0,1,0,log10 median
3441,"crackers, cookies, buiscuits, chips/curls",grams (g),g,98,98,0,0,0,1,0,log10 median
3442,"crackers, cookies, buiscuits, chips/curls",grams (g),g,170,170,0,0,0,1,0,log10 median
3443,"crackers, cookies, buiscuits, chips/curls",grams (g),g,24,24,0,0,0,1,0,log10 median
3444,"crackers, cookies, buiscuits, chips/curls",grams (g),g,45,45,0,0,0,1,0,log10 median
3445,"crackers, cookies, buiscuits, chips/curls",grams (g),g,90,90,0,0,0,1,0,log10 median
3446,"crackers, cookies, buiscuits, chips/curls",grams (g),g,300,300,0,0,0,1,0,log10 median
3447,"crackers, cookies, buiscuits, chips/curls",grams (g),g,420,420,0,0,0,1,0,log10 median
3448,"crackers, cookies, buiscuits, chips/curls",grams (g),g,280,280,0,0,0,1,0,log10 median
3449,"crackers, cookies, buiscuits, chips/curls",grams (g),g,100,100,0,0,0,1,0,log10 median
3450,"crackers, cookies, buiscuits, chips/curls",grams (g),g,330,330,0,0,0,1,0,log10 median
3451,"crackers, cookies, buiscuits, chips/curls",grams (g),g,125,125,0,0,0,1,0,log10 median
3452,"drinks at restaurant, hotel, cafe, or kiosk",Litres (L),mL,.34999999,350,0,0,0,1,0,log10 median
3453,"drinks at restaurant, hotel, cafe, or kiosk",Litres (L),mL,.5,500,0,0,0,1,0,log10 median
3454,"drinks at restaurant, hotel, cafe, or kiosk",Litres (L),mL,1,1000,0,0,0,1,0,log10 median
3455,"drinks at restaurant, hotel, cafe, or kiosk",Litres (L),mL,.5,500,0,0,0,1,0,log10 median
3456,"drinks at restaurant, hotel, cafe, or kiosk",Litres (L),mL,1,1000,0,0,0,1,0,log10 median
3457,"drinks at restaurant, hotel, cafe, or kiosk",Litres (L),mL,.0020000001,2000,1,1,0,0,0,log10 median
3458,"drinks at restaurant, hotel, cafe, or kiosk",Litres (L),mL,.35499999,355,0,0,0,1,0,log10 median
3459,"drinks at restaurant, hotel, cafe, or kiosk",Litres (L),mL,1,1000,0,0,0,1,0,log10 median
3460,"drinks at restaurant, hotel, cafe, or kiosk",Litres (L),mL,.19499999,195,0,0,0,1,0,log10 median
3461,"drinks at restaurant, hotel, cafe, or kiosk",Litres (L),mL,.34999999,350,0,0,0,1,0,log10 median
3462,"drinks at restaurant, hotel, cafe, or kiosk",Litres (L),mL,.0015,1500,1,1,0,0,0,log10 median
3463,"drinks at restaurant, hotel, cafe, or kiosk",Litres (L),mL,.23,230,0,0,0,1,0,log10 median
3464,"drinks at restaurant, hotel, cafe, or kiosk",Litres (L),mL,.33000001,330,0,0,0,1,0,log10 median
3465,"drinks at restaurant, hotel, cafe, or kiosk",Litres (L),mL,.0015,1500,1,1,0,0,0,log10 median
3466,"drinks at restaurant, hotel, cafe, or kiosk",Litres (L),mL,.23,230,0,0,0,1,0,log10 median
3467,"drinks at restaurant, hotel, cafe, or kiosk",Litres (L),mL,.35499999,355,0,0,0,1,0,log10 median
3468,"drinks at restaurant, hotel, cafe, or kiosk",Litres (L),mL,1,1000,0,0,0,1,0,log10 median
3469,"drinks at restaurant, hotel, cafe, or kiosk",Litres (L),mL,.80000001,800,0,0,0,1,0,log10 median
3470,"drinks at restaurant, hotel, cafe, or kiosk",Litres (L),mL,.19,190,0,0,0,1,0,log10 median
3471,"drinks at restaurant, hotel, cafe, or kiosk",Litres (L),mL,.28999999,290,0,0,0,1,0,log10 median
3472,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",Litres (L),mL,.1,100,0,0,0,1,0,log10 median
3473,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",Litres (L),mL,.14,140,0,0,0,1,0,log10 median
3474,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",Litres (L),mL,.115,115,0,0,0,1,0,log10 median
3475,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",Litres (L),mL,.11,110,0,0,0,1,0,log10 median
3476,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",Litres (L),mL,.89999998,900,0,0,0,1,0,block governs
3477,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",Litres (L),mL,.1,100,0,0,0,1,0,log10 median
3478,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",Litres (L),mL,.1,100,0,0,0,1,0,log10 median
3479,"liquor (e.g, whisky, coconut wine)",Litres (L),mL,.375,375,0,0,0,1,0,log10 median
3480,"liquor (e.g, whisky, coconut wine)",Litres (L),mL,.375,375,0,0,0,1,0,log10 median
3481,"liquor (e.g, whisky, coconut wine)",Litres (L),mL,.375,375,0,0,0,1,0,log10 median
3482,"liquor (e.g, whisky, coconut wine)",Litres (L),mL,.375,375,0,0,0,1,0,log10 median
3483,"liquor (e.g, whisky, coconut wine)",Litres (L),mL,.375,375,0,0,0,1,0,log10 median
3484,"liquor (e.g, whisky, coconut wine)",Litres (L),mL,.375,375,0,0,0,1,0,log10 median
3485,"liquor (e.g, whisky, coconut wine)",Litres (L),mL,.375,375,0,0,0,1,0,log10 median
3486,"liquor (e.g, whisky, coconut wine)",Litres (L),mL,.75,750,0,0,0,1,0,log10 median
3487,"liquor (e.g, whisky, coconut wine)",Litres (L),mL,1,1000,0,0,0,1,0,log10 median
3488,"liquor (e.g, whisky, coconut wine)",Litres (L),mL,.75,750,0,0,0,1,0,log10 median
3489,"liquor (e.g, whisky, coconut wine)",Litres (L),mL,1,1000,0,0,0,1,0,log10 median
3490,"liquor (e.g, whisky, coconut wine)",Litres (L),mL,.75,750,0,0,0,1,0,log10 median
3491,"liquor (e.g, whisky, coconut wine)",Litres (L),mL,.69999999,700,0,0,0,1,0,log10 median
3492,"liquor (e.g, whisky, coconut wine)",Litres (L),mL,.75,750,0,0,0,1,0,log10 median
3493,"liquor (e.g, whisky, coconut wine)",Litres (L),mL,1,1000,0,0,0,1,0,log10 median
3494,"liquor (e.g, whisky, coconut wine)",Litres (L),mL,.75,750,0,0,0,1,0,log10 median
3495,"liquor (e.g, whisky, coconut wine)",Litres (L),mL,1,1000,0,0,0,1,0,log10 median
3496,"liquor (e.g, whisky, coconut wine)",Litres (L),mL,.34999999,350,0,0,0,1,0,log10 median
3497,"liquor (e.g, whisky, coconut wine)",Litres (L),mL,.75,750,0,0,0,1,0,log10 median
3498,"liquor (e.g, whisky, coconut wine)",Litres (L),mL,1,1000,0,0,0,1,0,log10 median
3499,"liquor (e.g, whisky, coconut wine)",Litres (L),mL,.75,750,0,0,0,1,0,log10 median
3500,loaf bread,grams (g),g,385,385,0,0,0,1,0,log10 median
3501,loaf bread,grams (g),g,600,600,0,0,0,1,0,log10 median
3502,loaf bread,grams (g),g,500,500,0,0,0,1,0,log10 median
3505,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),g,425,425,0,0,0,1,0,log10 median
3506,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),g,250,250,0,0,0,1,0,log10 median
3507,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),g,150,150,0,0,0,1,0,log10 median
3508,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),g,150,150,0,0,0,1,0,log10 median
3509,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),g,260,260,0,0,0,1,0,log10 median
3510,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),g,198,198,0,0,0,1,0,log10 median
3511,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),g,56,56,0,0,0,1,0,log10 median
3512,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),g,250,250,0,0,0,1,0,log10 median
3513,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),g,230,230,0,0,0,1,0,log10 median
3514,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),g,250,250,0,0,0,1,0,log10 median
3515,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),g,250,250,0,0,0,1,0,log10 median
3516,cabbage,grams (g),g,405,405,0,0,0,1,0,log10 median
3517,cabbage,grams (g),g,840,840,0,0,0,1,0,log10 median
3518,cabbage,Kilograms (Kgs),g,1.235,1235,0,0,0,1,0,log10 median
3519,cabbage,grams (g),g,505,505,0,0,0,1,0,log10 median
3520,cabbage,grams (g),g,740,740,0,0,0,1,0,log10 median
3521,cabbage,grams (g),g,950,950,0,0,0,1,0,log10 median
3522,cabbage,grams (g),g,455,455,0,0,0,1,0,log10 median
3523,cabbage,grams (g),g,520,520,0,0,0,1,0,log10 median
3524,cabbage,grams (g),g,840,840,0,0,0,1,0,log10 median
3525,cabbage,grams (g),g,490,490,0,0,0,1,0,log10 median
3526,camote tops,grams (g),g,220,220,0,0,0,1,0,log10 median
3527,camote tops,grams (g),g,440,440,0,0,0,1,0,log10 median
3528,camote tops,grams (g),g,670,670,0,0,0,1,0,log10 median
3529,camote tops,grams (g),g,175,175,0,0,0,1,0,log10 median
3530,camote tops,grams (g),g,345,345,0,0,0,1,0,log10 median
3531,camote tops,grams (g),g,520,520,0,0,0,1,0,log10 median
3532,camote tops,grams (g),g,255,255,0,0,0,1,0,log10 median
3533,camote tops,grams (g),g,470,470,0,0,0,1,0,log10 median
3534,camote tops,grams (g),g,690,690,0,0,0,1,0,log10 median
3535,carrot,grams (g),g,90,90,0,0,0,1,0,log10 median
3536,carrot,grams (g),g,140,140,0,0,0,1,0,log10 median
3537,carrot,grams (g),g,225,225,0,0,0,1,0,log10 median
3538,carrot,grams (g),g,80,80,0,0,0,1,0,log10 median
3539,carrot,grams (g),g,120,120,0,0,0,1,0,log10 median
3540,carrot,grams (g),g,180,180,0,0,0,1,0,log10 median
3541,carrot,grams (g),g,110,110,0,0,0,1,0,log10 median
3542,carrot,grams (g),g,125,125,0,0,0,1,0,log10 median
3543,carrot,grams (g),g,165,165,0,0,0,1,0,log10 median
3544,chicken,Kilograms (Kgs),g,1.085,1085,0,0,0,1,0,log10 median
3545,chicken,Kilograms (Kgs),g,1.295,1295,0,0,0,1,0,log10 median
3546,chicken,Kilograms (Kgs),g,1365,1365,1,1,0,0,0,log10 median
3547,chicken,grams (g),g,250,250,0,0,0,1,0,log10 median
3548,chicken,grams (g),g,270,270,0,0,0,1,0,log10 median
3549,chicken,grams (g),g,365,365,0,0,0,1,0,log10 median
3550,chicken,grams (g),g,195,195,0,0,0,1,0,log10 median
3551,chicken,grams (g),g,225,225,0,0,0,1,0,log10 median
3552,chicken,grams (g),g,290,290,0,0,0,1,0,log10 median
3553,chicken,grams (g),g,230,230,0,0,0,1,0,log10 median
3554,chicken,grams (g),g,250,250,0,0,0,1,0,log10 median
3555,chicken,Kilograms (Kgs),g,1.09,1090,0,0,0,1,0,log10 median
3556,chicken,Kilograms (Kgs),g,1.11,1110,0,0,0,1,0,log10 median
3557,chicken,Kilograms (Kgs),g,1.15,1150,0,0,0,1,0,log10 median
