"row id; same id space as hh_row in psps_households.dta","household identifier","PSPS item code","acquisition slot: 2 purchased, 3 own production, 4 gift","acquisition route: purchased, own_production, or gift","province","municipality","food item","unit as the household reported it","harmonized market-survey unit; blank where none applies","quantity reported, in the unit named by pull_nsu_unit","implied unit value, PHP per unit; all acquisition modes (A10)","grams (or mL) per unit for this household's row","q_h * cf_h; total grams for this row; missing if not converted","20a conversion path: 1 standard unit, 2 NSU, 3 not an NSU","how this row got its grams, or why it did not","1 = this row has a gram figure","0 matched or standard-unit; 1-3 a borrowed rung; missing if unconverted","1 = the household price ratio was clamped to t=5 (conv_path 2 only)","1 = no computable unit value on this row (e_h or q_h absent)","weighings behind cf_h, at the level used; missing off conv_path 2","1 = fewer than 3 weighings behind the estimate; treat as uncertain","hetero-blind: grams in one unit of this NSU, cell pooled across hetero-groups","hetero-blind: q_h * cf_h_blind -- the no-price-matching counterfactual","hetero-blind: dimension of cf_h_blind (1 = g, 2 = mL)","hetero-blind rung: 1 cell pooled, 2 province, 3 regional (never 0)","hetero-blind: how this row got its grams, or why it did not","hetero-blind: weighings behind cf_h_blind","1 = the hetero-blind ladder produced grams for this row"
33795,H005789,sweet_1,2,purchased,ILOILO,ALIMODIAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",grams (g),,220,.5454545454545454,1,220,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33796,H005789,veg_3,3,own_production,ILOILO,ALIMODIAN,camote tops,bugkos,bugkos,2,10,87.5,175,NSU via market survey,matched price point,1,the cell's own weighings,0,0,3,0,175,350,1,1,blind: cell pooled,3,1
33797,H005790,bev_1,2,purchased,CAPIZ,DUMARAO,"mineral or spring water, all drinking water sold in containers",5-gallon blue container,,7,20,18927.1,132489.7,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33798,H005790,bev_2,2,purchased,CAPIZ,DUMARAO,beer,botelya (500ml),,2,75,500,1000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33799,H005790,fish_1,2,purchased,CAPIZ,DUMARAO,fresh fish,kilograms (kg),,3,135,1000,3000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33800,H005790,fruit_1,2,purchased,CAPIZ,DUMARAO,mango,kilograms (kg),,1,80,1000,1000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33801,H005790,grain_1,2,purchased,CAPIZ,DUMARAO,rice,gantang,,5,135,2250,11250,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33802,H005790,grain_2,2,purchased,CAPIZ,DUMARAO,loaf bread,medium,medium packs,2,65,450.0000000000001,900.0000000000001,NSU via market survey,matched price point,1,the cell's own weighings,0,0,4,0,450,900,1,1,blind: cell pooled,5,1
33803,H005790,meat_2,2,purchased,CAPIZ,DUMARAO,pork,kilograms (kg),,1,300,1000,1000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33804,H005790,meat_3,2,purchased,CAPIZ,DUMARAO,chicken,kilograms (kg),,1,240,1000,1000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33805,H005790,sweet_1,2,purchased,CAPIZ,DUMARAO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",gamay nga cup,small cup,18,5,20,360,NSU via market survey,matched price point,1,the cell's own weighings,1,0,3,0,100,1800,2,1,blind: cell pooled,3,1
33806,H005791,bev_1,2,purchased,ILOILO,POTOTAN,"mineral or spring water, all drinking water sold in containers",5-gallon blue container,,2,25,18927.1,37854.2,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33807,H005791,fish_1,2,purchased,ILOILO,POTOTAN,fresh fish,kilograms (kg),,2,180,1000,2000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33808,H005791,grain_1,2,purchased,ILOILO,POTOTAN,rice,gantang,,3,130,2250,6750,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33809,H005792,bev_3,2,purchased,ANTIQUE,VALDERRAMA,"liquor (e.g, whisky, coconut wine)",lipid / lapad,lipid/lapad,2,80,363.6363636363636,727.2727272727273,NSU via market survey,matched price point,1,the cell's own weighings,0,0,7,0,375,750,2,1,blind: cell pooled,7,1
33810,H005792,fish_1,2,purchased,ANTIQUE,VALDERRAMA,fresh fish,kilograms (kg),,2,150,1000,2000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33811,H005792,fruit_1,2,purchased,ANTIQUE,VALDERRAMA,mango,kilograms (kg),,1,120,1000,1000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33812,H005792,grain_1,3,own_production,ANTIQUE,VALDERRAMA,rice,gantang,,2,120,2250,4500,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33813,H005792,meat_4,2,purchased,ANTIQUE,VALDERRAMA,"preserved or processed meat (tocino, tapa, longaniza, etc)",lata,cans,2,25,53.2258064516129,106.4516129032258,NSU via market survey,matched price point,1,the cell's own weighings,0,0,7,0,198,396,1,1,blind: cell pooled,7,1
33814,H005792,veg_3,2,purchased,ANTIQUE,VALDERRAMA,camote tops,bugkos,bugkos,2,10,105,210,NSU via market survey,matched price point,1,the cell's own weighings,0,0,3,0,210,420,1,1,blind: cell pooled,3,1
33815,H005792,veg_4,2,purchased,ANTIQUE,VALDERRAMA,camote,kilograms (kg),,1,50,1000,1000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33816,H005793,fish_1,2,purchased,CAPIZ,DUMARAO,fresh fish,kilograms (kg),,.5,240,1000,500,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33817,H005793,fruit_1,2,purchased,CAPIZ,DUMARAO,mango,kilograms (kg),,1,60,1000,1000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33818,H005793,grain_1,2,purchased,CAPIZ,DUMARAO,rice,gantang,,5,126,2250,11250,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33819,H005793,meat_2,2,purchased,CAPIZ,DUMARAO,pork,kilograms (kg),,1,340,1000,1000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33820,H005794,bev_1,2,purchased,ILOILO,BAROTAC VIEJO,"mineral or spring water, all drinking water sold in containers",5-gallon blue container,,4,25,18927.1,75708.39999999999,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33821,H005794,fish_1,2,purchased,ILOILO,BAROTAC VIEJO,fresh fish,kilograms (kg),,1,200,1000,1000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33822,H005794,grain_1,2,purchased,ILOILO,BAROTAC VIEJO,rice,kilograms (kg),,7.199999809265137,55.97222370497978,1000,7199.999809265137,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33823,H005794,grain_2,2,purchased,ILOILO,BAROTAC VIEJO,loaf bread,medium,medium packs,2,65,433.3333333333334,866.6666666666667,NSU via market survey,matched price point,1,the cell's own weighings,0,0,2,1,450,900,1,2,blind: cell pooled,160,1
33824,H005794,meat_2,2,purchased,ILOILO,BAROTAC VIEJO,pork,kilograms (kg),,1,270,1000,1000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33825,H005794,meat_3,2,purchased,ILOILO,BAROTAC VIEJO,chicken,kilograms (kg),,1,180,1000,1000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33826,H005794,meat_4,2,purchased,ILOILO,BAROTAC VIEJO,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,putos,7,65,250,1750,NSU via market survey,fallback: province pool,1,province x item x unit,0,0,182,0,250,1750,1,2,blind: province pool,182,1
33827,H005794,veg_3,3,own_production,ILOILO,BAROTAC VIEJO,camote tops,bugkos,bugkos,3,10,77.5,232.5,NSU via market survey,matched price point,1,the cell's own weighings,0,0,3,0,155,465,1,1,blind: cell pooled,3,1
33828,H005795,fish_1,2,purchased,CAPIZ,MA-AYON,fresh fish,kilograms (kg),,1.5,160,1000,1500,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33829,H005795,grain_1,2,purchased,CAPIZ,MA-AYON,rice,kilograms,,4,40,1000,4000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33830,H005795,grain_2,2,purchased,CAPIZ,MA-AYON,loaf bread,gagmay nga putos,small packs,10,5,60,600,NSU via market survey,matched price point,1,the cell's own weighings,1,0,1,1,400,4000,1,2,blind: cell pooled,33,1
33831,H005795,grain_3,2,purchased,CAPIZ,MA-AYON,"crackers, cookies, buiscuits, chips/curls",putos,putos,2,68,291.4285714285714,582.8571428571429,NSU via market survey,matched price point,1,the cell's own weighings,0,0,5,0,300,600,1,1,blind: cell pooled,6,1
33832,H005795,meat_3,2,purchased,CAPIZ,MA-AYON,chicken,whole (chicken),whole (chicken),2,250,1034.637738318186,2069.275476636372,NSU via market survey,matched price point,1,the cell's own weighings,0,0,1,1,1080,2160,1,1,blind: cell pooled,3,1
33833,H005796,fish_1,2,purchased,NEGROS OCCIDENTAL,ISABELA,fresh fish,grams (g),,500,.16,1,500,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33834,H005796,grain_1,2,purchased,NEGROS OCCIDENTAL,ISABELA,rice,kilograms (kg),,7,40,1000,7000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33835,H005797,bev_1,2,purchased,ILOILO,AJUY,"mineral or spring water, all drinking water sold in containers",5-gallon blue container,,2,20,18927.1,37854.2,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33836,H005797,bev_3,2,purchased,ILOILO,AJUY,"liquor (e.g, whisky, coconut wine)",lipid / lapad,lipid/lapad,1,85,711.875,711.875,NSU via market survey,matched price point,1,the cell's own weighings,0,0,1,1,375,375,2,2,blind: cell pooled,267,1
33837,H005797,fish_1,3,own_production,ILOILO,AJUY,fresh fish,kilograms (kg),,2,300,1000,2000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33838,H005797,grain_1,2,purchased,ILOILO,AJUY,rice,gantang,,3,140,2250,6750,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33839,H005797,grain_2,2,purchased,ILOILO,AJUY,loaf bread,dalagku nga putos,large packs,2,65,430.0208478109799,860.0416956219598,NSU via market survey,matched price point,1,the cell's own weighings,0,0,1,1,640,1280,1,2,blind: cell pooled,188,1
33840,H005797,grain_3,2,purchased,ILOILO,AJUY,"crackers, cookies, buiscuits, chips/curls",bilog,pieces or units,15,10,10,150,NSU via market survey,matched price point,1,the cell's own weighings,1,0,3,0,50,750,1,1,blind: cell pooled,3,1
33841,H005797,meat_3,4,gift,ILOILO,AJUY,chicken,bilog,bilog,3,15,1072.5,3217.5,NSU via market survey,fallback: province pool,1,province x item x unit,0,0,130,0,1072.5,3217.5,1,2,blind: province pool,130,1
33842,H005797,veg_3,3,own_production,ILOILO,AJUY,camote tops,bugkos,bugkos,1,20,325,325,NSU via market survey,matched price point,1,the cell's own weighings,0,0,3,0,325,325,1,1,blind: cell pooled,3,1
33843,H005798,bev_1,2,purchased,ILOILO,BATAD,"mineral or spring water, all drinking water sold in containers",5-gallon blue container,,7,20,18927.1,132489.7,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33844,H005798,bev_3,2,purchased,ILOILO,BATAD,"liquor (e.g, whisky, coconut wine)",lipid / lapad,lipid/lapad,3,68,318.75,956.25,NSU via market survey,matched price point,1,the cell's own weighings,0,0,6,0,375,1125,2,1,blind: cell pooled,6,1
33845,H005798,fish_1,2,purchased,ILOILO,BATAD,fresh fish,kilograms (kg),,1,350,1000,1000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33846,H005798,grain_1,2,purchased,ILOILO,BATAD,rice,letse,letse,105,12.76190476190476,425,44625,NSU via market survey,matched price point,1,the cell's own weighings,0,0,1,1,425,44625,1,3,blind: cell pooled,3,1
33847,H005798,grain_3,2,purchased,ILOILO,BATAD,"crackers, cookies, buiscuits, chips/curls",putos,putos,4,63,90,360,NSU via market survey,fallback: province pool,1,province x item x unit,0,0,230,0,90,360,1,2,blind: province pool,230,1
33848,H005798,meat_3,2,purchased,ILOILO,BATAD,chicken,kilograms (kg),,1,200,1000,1000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33849,H005798,veg_3,3,own_production,ILOILO,BATAD,camote tops,bugkos,bugkos,1,20,385,385,NSU via market survey,matched price point,1,the cell's own weighings,0,0,7,0,385,385,1,1,blind: cell pooled,7,1
33850,H005799,bev_1,2,purchased,CAPIZ,MA-AYON,"mineral or spring water, all drinking water sold in containers",gallons,,5,20,3785.41,18927.05,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33851,H005799,bev_2,2,purchased,CAPIZ,MA-AYON,beer,litro (l),,1,110,1000,1000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33852,H005799,bev_3,2,purchased,CAPIZ,MA-AYON,"liquor (e.g, whisky, coconut wine)",lipid / lapad,lipid/lapad,1,65,304.6875,304.6875,NSU via market survey,matched price point,1,the cell's own weighings,0,0,6,0,375,375,2,1,blind: cell pooled,6,1
33853,H005799,fish_1,2,purchased,CAPIZ,MA-AYON,fresh fish,kilograms (kg),,3,240,1000,3000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33854,H005799,fish_2,2,purchased,CAPIZ,MA-AYON,"prawns, lobster, shrimp",grams (g),,500,.3,1,500,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33855,H005799,grain_1,2,purchased,CAPIZ,MA-AYON,rice,kilograms (kg),,15,55,1000,15000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33856,H005799,grain_3,2,purchased,CAPIZ,MA-AYON,"crackers, cookies, buiscuits, chips/curls",bilog,pieces or units,1,12,15.83505154639175,15.83505154639175,NSU via market survey,matched price point,1,the cell's own weighings,0,0,5,0,48,48,1,1,blind: cell pooled,5,1
33857,H005799,meat_2,2,purchased,CAPIZ,MA-AYON,pork,grams (g),,500,.46,1,500,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33858,H005799,meat_3,2,purchased,CAPIZ,MA-AYON,chicken,pack,pack,1,150,1347.5,1347.5,NSU via market survey,matched price point,1,the cell's own weighings,0,0,4,0,1347.5,1347.5,1,1,blind: cell pooled,4,1
33859,H005799,meat_4,2,purchased,CAPIZ,MA-AYON,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,putos,1,130,333.6666666666666,333.6666666666666,NSU via market survey,matched price point,1,the cell's own weighings,0,0,1,1,255,255,1,1,blind: cell pooled,6,1
33860,H005799,sweet_1,2,purchased,CAPIZ,MA-AYON,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",bilog,pieces or units,1,15,75,75,NSU via market survey,fallback: province pool,1,province x item x unit,0,0,16,0,75,75,2,2,blind: province pool,16,1
33861,H005799,veg_3,3,own_production,CAPIZ,MA-AYON,camote tops,bugkos,bugkos,1,15,270,270,NSU via market survey,matched price point,1,the cell's own weighings,0,0,9,0,360,360,1,1,blind: cell pooled,9,1
33862,H005800,grain_1,2,purchased,ILOILO,LEMERY,rice,salmon,salmon,3,21.66666666666667,410,1230,NSU via market survey,fallback: province pool,1,province x item x unit,0,0,21,0,410,1230,1,2,blind: province pool,21,1
33863,H005801,bev_1,2,purchased,NEGROS OCCIDENTAL,MANAPLA,"mineral or spring water, all drinking water sold in containers",5-gallon blue container,,1,30,18927.1,18927.1,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33864,H005801,fish_1,2,purchased,NEGROS OCCIDENTAL,MANAPLA,fresh fish,kilograms (kg),,1,250,1000,1000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33865,H005801,grain_1,2,purchased,NEGROS OCCIDENTAL,MANAPLA,rice,kilograms (kg),,8,58,1000,8000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33866,H005801,meat_4,2,purchased,NEGROS OCCIDENTAL,MANAPLA,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,putos,2,60,300.6998231780126,601.3996463560252,NSU via market survey,matched price point,1,the cell's own weighings,0,0,3,0,250,500,1,1,blind: cell pooled,3,1
33867,H005801,veg_3,3,own_production,NEGROS OCCIDENTAL,MANAPLA,camote tops,bugkos,bugkos,2,20,180,360,NSU via market survey,matched price point,1,the cell's own weighings,0,0,9,0,270,540,1,1,blind: cell pooled,9,1
33868,H005802,fish_1,2,purchased,ILOILO,AJUY,fresh fish,bilog,pieces or units,1,50,183.75,183.75,NSU via market survey,matched price point,1,the cell's own weighings,0,0,2,1,490,490,1,1,blind: cell pooled,4,1
33869,H005802,grain_1,4,gift,ILOILO,AJUY,rice,gantang,,2,140,2250,4500,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33870,H005802,grain_3,4,gift,ILOILO,AJUY,"crackers, cookies, buiscuits, chips/curls",putos,putos,1,48,213.3333333333333,213.3333333333333,NSU via market survey,matched price point,1,the cell's own weighings,0,0,2,1,290,290,1,1,blind: cell pooled,3,1
33871,H005802,meat_3,4,gift,ILOILO,AJUY,chicken,grams (g),,100,.5,1,100,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33872,H005802,veg_3,3,own_production,ILOILO,AJUY,camote tops,bugkos,bugkos,1,10,162.5,162.5,NSU via market survey,matched price point,1,the cell's own weighings,0,0,3,0,325,325,1,1,blind: cell pooled,3,1
33873,H005803,grain_1,2,purchased,ILOILO,BAROTAC VIEJO,rice,gantang,,4,80,2250,9000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33874,H005803,veg_3,3,own_production,ILOILO,BAROTAC VIEJO,camote tops,bundle,bundle,3,20,470,1410,NSU via market survey,fallback: province pool,1,province x item x unit,0,0,31,0,470,1410,1,2,blind: province pool,31,1
33875,H005804,fish_1,2,purchased,AKLAN,ALTAVAS,fresh fish,kilograms (kg),,1,180,1000,1000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33876,H005804,fish_1,4,gift,AKLAN,ALTAVAS,fresh fish,kilograms (kg),,5,100,1000,5000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33877,H005804,grain_1,2,purchased,AKLAN,ALTAVAS,rice,gantang,,7,135,2250,15750,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33878,H005804,grain_3,2,purchased,AKLAN,ALTAVAS,"crackers, cookies, buiscuits, chips/curls",binilog,pieces or units,5,8,5.1,25.5,NSU via market survey,matched price point,1,the cell's own weighings,0,0,8,0,25.5,127.5,1,1,blind: cell pooled,8,1
33879,H005804,meat_4,2,purchased,AKLAN,ALTAVAS,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,putos,2,120,375.6521739130435,751.304347826087,NSU via market survey,matched price point,1,the cell's own weighings,0,0,1,1,305,610,1,1,blind: cell pooled,4,1
33880,H005804,veg_3,4,gift,AKLAN,ALTAVAS,camote tops,bundle,bundle,4,20,810,3240,NSU via market survey,matched price point,1,the cell's own weighings,0,0,3,0,810,3240,1,1,blind: cell pooled,3,1
33881,H005805,bev_1,2,purchased,CAPIZ,PRESIDENT ROXAS,"mineral or spring water, all drinking water sold in containers",gallons,,1,20,3785.41,3785.41,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33882,H005805,bev_3,2,purchased,CAPIZ,PRESIDENT ROXAS,"liquor (e.g, whisky, coconut wine)",lipid / lapad,lipid/lapad,1,75,351.5625,351.5625,NSU via market survey,matched price point,1,the cell's own weighings,0,0,6,0,375,375,2,1,blind: cell pooled,6,1
33883,H005805,fish_1,2,purchased,CAPIZ,PRESIDENT ROXAS,fresh fish,kilograms (kg),,1,200,1000,1000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33884,H005805,grain_1,2,purchased,CAPIZ,PRESIDENT ROXAS,rice,gantang,,2,130,2250,4500,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33885,H005805,veg_3,3,own_production,CAPIZ,PRESIDENT ROXAS,camote tops,bugkos,bugkos,1,20,305,305,NSU via market survey,matched price point,1,the cell's own weighings,0,0,1,1,210,210,1,2,blind: cell pooled,51,1
33886,H005806,grain_1,2,purchased,ILOILO,CABATUAN,rice,gantang,,2,130,2250,4500,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33887,H005806,meat_2,2,purchased,ILOILO,CABATUAN,pork,grams (g),,500,.32,1,500,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33888,H005807,bev_1,2,purchased,CAPIZ,PRESIDENT ROXAS,"mineral or spring water, all drinking water sold in containers",5-gallon blue container,,1,25,18927.1,18927.1,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33889,H005807,bev_2,2,purchased,CAPIZ,PRESIDENT ROXAS,beer,litro (l),,3,130,1000,3000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33890,H005807,fish_1,2,purchased,CAPIZ,PRESIDENT ROXAS,fresh fish,kilograms (kg),,3,180,1000,3000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33891,H005807,fruit_1,2,purchased,CAPIZ,PRESIDENT ROXAS,mango,kilograms (kg),,1,80,1000,1000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33892,H005807,grain_1,2,purchased,CAPIZ,PRESIDENT ROXAS,rice,gantang,,1,130,2250,2250,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33893,H005807,grain_2,2,purchased,CAPIZ,PRESIDENT ROXAS,loaf bread,large,large packs,1,110,776.4705882352941,776.4705882352941,NSU via market survey,matched price point,1,the cell's own weighings,0,0,3,0,600,600,1,1,blind: cell pooled,3,1
33894,H005807,meat_3,2,purchased,CAPIZ,PRESIDENT ROXAS,chicken,grams (g),,250,.32,1,250,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33895,H005807,meat_4,2,purchased,CAPIZ,PRESIDENT ROXAS,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,putos,2,25,104.1666666666667,208.3333333333333,NSU via market survey,matched price point,1,the cell's own weighings,0,0,1,1,250,500,1,2,blind: cell pooled,61,1
33896,H005807,sweet_1,2,purchased,CAPIZ,PRESIDENT ROXAS,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,putos,2,22,60.67974958648939,121.3594991729788,NSU via market survey,matched price point,1,the cell's own weighings,0,0,1,1,60,120,2,2,blind: cell pooled,22,1
33897,H005807,veg_3,2,purchased,CAPIZ,PRESIDENT ROXAS,camote tops,bugkos,bugkos,1,10,152.5,152.5,NSU via market survey,matched price point,1,the cell's own weighings,0,0,1,1,210,210,1,2,blind: cell pooled,51,1
33898,H005807,veg_4,2,purchased,CAPIZ,PRESIDENT ROXAS,camote,grams (g),,500,.03,1,500,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33899,H005808,bev_1,3,own_production,ILOILO,AJUY,"mineral or spring water, all drinking water sold in containers",5-gallon blue container,,7,30,18927.1,132489.7,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33900,H005808,fish_1,2,purchased,ILOILO,AJUY,fresh fish,kilograms (kg),,3,100,1000,3000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33901,H005808,grain_1,3,own_production,ILOILO,AJUY,rice,gantang,,7,130,2250,15750,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33902,H005809,fish_1,2,purchased,ILOILO,MINA,fresh fish,kilograms (kg),,1,200,1000,1000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33903,H005809,grain_1,2,purchased,ILOILO,MINA,rice,kilograms (kg),,14,55,1000,14000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33904,H005809,grain_3,2,purchased,ILOILO,MINA,"crackers, cookies, buiscuits, chips/curls",bilog,pieces or units,7,8,12,84,NSU via market survey,matched price point,1,the cell's own weighings,1,0,12,0,60,420,1,1,blind: cell pooled,12,1
33905,H005809,veg_3,3,own_production,ILOILO,MINA,camote tops,bugkos,bugkos,2,10,72.5,145,NSU via market survey,matched price point,1,the cell's own weighings,0,0,4,0,145,290,1,1,blind: cell pooled,4,1
33906,H005810,fish_1,2,purchased,ILOILO,LAMBUNAO,fresh fish,kilograms (kg),,2,150,1000,2000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33907,H005810,grain_1,2,purchased,ILOILO,LAMBUNAO,rice,gantang,,4,100,2250,9000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33908,H005810,veg_3,3,own_production,ILOILO,LAMBUNAO,camote tops,bugkos,bugkos,3,10,78,234,NSU via market survey,matched price point,1,the cell's own weighings,0,0,7,0,195,585,1,1,blind: cell pooled,7,1
33909,H005811,grain_1,4,gift,ILOILO,LEMERY,rice,gantang,,1,120,2250,2250,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33910,H005811,veg_3,3,own_production,ILOILO,LEMERY,camote tops,bugkos,bugkos,1,10,170,170,NSU via market survey,fallback: province pool,1,province x item x unit,0,0,218,0,170,170,1,2,blind: province pool,218,1
33911,H005812,fish_1,2,purchased,ILOILO,MAASIN,fresh fish,kilograms (kg),,1,150,1000,1000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33912,H005812,grain_1,2,purchased,ILOILO,MAASIN,rice,gantang,,8,115,2250,18000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33913,H005812,grain_3,2,purchased,ILOILO,MAASIN,"crackers, cookies, buiscuits, chips/curls",putos,putos,5,8,90,450,NSU via market survey,fallback: province pool,1,province x item x unit,0,0,230,0,90,450,1,2,blind: province pool,230,1
33914,H005812,meat_3,2,purchased,ILOILO,MAASIN,chicken,kilograms (kg),,1,220,1000,1000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33915,H005812,meat_4,2,purchased,ILOILO,MAASIN,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,putos,1,60,240,240,NSU via market survey,matched price point,1,the cell's own weighings,0,0,1,1,250,250,1,2,blind: cell pooled,182,1
33916,H005813,bev_3,2,purchased,NEGROS OCCIDENTAL,PONTEVEDRA,"liquor (e.g, whisky, coconut wine)",lipid / lapad,lipid/lapad,2,70,328.125,656.25,NSU via market survey,matched price point,1,the cell's own weighings,0,0,4,0,545,1090,2,1,blind: cell pooled,8,1
33917,H005813,fish_1,2,purchased,NEGROS OCCIDENTAL,PONTEVEDRA,fresh fish,kilograms (kg),,2,100,1000,2000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33918,H005813,grain_1,2,purchased,NEGROS OCCIDENTAL,PONTEVEDRA,rice,kilograms (kg),,20,58,1000,20000,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33919,H005814,bev_1,2,purchased,CAPIZ,DUMALAG,"mineral or spring water, all drinking water sold in containers",5-gallon blue container,,3,25,18927.1,56781.3,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
33920,H005814,bev_3,2,purchased,CAPIZ,DUMALAG,"liquor (e.g, whisky, coconut wine)",lipid / lapad,lipid/lapad,1,70,375,375,NSU via market survey,matched price point,1,the cell's own weighings,0,0,4,0,375,375,2,1,blind: cell pooled,5,1
33921,H005814,fish_1,2,purchased,CAPIZ,DUMALAG,fresh fish,grams (g),,500,.2,1,500,standard unit,standard unit,1,the cell's own weighings,0,0,,,,,,,,,
